,Group,Subject,Age,Sex,Height (m),Music listening hours/week,Perform/produce/compose music hours/week,Dance hours/week,Exercise (no dance) hours/week,Tiresome experience (1-5),Experience of motion (1-5),Experience of moving more to music (1-5),Eyes open?,Locked knees?,Mean QoM,Mean QoM w/oM,Mean QoM w M,NoMus-Mus Diff
74,P,1,24,M,1.72,35,40.0,0.0,1.0,2,4.0,3,0.5,0.5,9.02233307525729,8.92602682960309,9.11863391075219,0.192607081149099
75,P,2,23,F,1.64,6,3.0,2.0,4.0,3,4.0,3,0.5,0.5,5.66262147418051,5.85434692907628,5.47090678977256,-0.383440139303721
76,P,3,51,F,1.52,10,10.0,0.0,0.5,1,2.0,2,0.5,0.5,4.59400122734463,4.4389878859925,4.74900586057126,0.31001797457876
77,P,4,24,F,1.73,3,0.0,1.0,0.5,3,4.0,3,0.5,0.5,7.74066986544584,7.74952691641596,7.73181331203485,-0.0177136043811101
78,P,5,21,M,1.76,3,10.0,0.5,3.0,2,3.0,2,0.5,0.5,7.14062018022204,7.14705214953396,7.13418857223639,-0.01286357729757
79,P,6,36,F,1.61,4,2.0,0.0,0.0,5,4.0,4,0.5,0.5,4.30113170031766,4.15178127346822,4.45047373716504,0.29869246369682
80,P,7,24,M,1.73,3,3.0,0.5,0.5,4,3.0,2,0.5,0.5,5.89000115511789,5.72305606819451,6.0569368636307,0.33388079543619
81,P,8,24,F,1.71,30,30.0,4.0,4.0,3,2.0,4,0.5,0.5,6.00439837669739,6.10563815023631,5.90316429046659,-0.202473859769721
82,P,9,22,F,1.66,20,6.0,3.0,1.0,2,3.0,2,0.5,0.5,5.05947477250227,5.10687438879342,5.01207781896132,-0.0947965698321003
83,P,10,22,M,1.89,7,7.0,0.0,4.5,5,3.0,1,0.5,0.5,10.2481761525425,9.66755783229428,10.8287618556163,1.16120402332202
84,P,11,27,F,1.61,20,14.0,4.0,2.0,1,4.0,3,0.5,0.5,6.18131003889631,6.33598671162778,6.02664205537741,-0.30934465625037
85,P,12,27,M,1.84,10,10.0,2.0,1.0,5,3.0,5,0.5,0.5,13.699610337059,9.08333242508399,18.3156289221471,9.23229649706311
86,P,13,31,F,1.59,24,2.0,1.0,2.0,2,3.0,4,0.5,0.5,4.64359649610829,4.63344722909762,4.65374519296745,0.0202979638698295
87,P,14,23,F,1.62,22,6.0,3.0,3.5,2,2.0,2,0.5,0.5,6.92982489455376,7.15216774486713,6.70749453471001,-0.44467321015712
88,P,15,38,M,1.8,20,30.0,0.0,2.0,3,2.0,2,0.5,0.5,4.23120598492716,4.23468744521035,4.22772472022068,-0.0069627249896697
89,P,16,22,M,1.69,3,40.0,1.0,3.0,2,3.0,2,0.5,0.5,6.50016972144018,6.31039734383821,6.68993143827169,0.379534094433479
90,P,17,24,M,1.67,16,14.0,3.5,1.0,1,3.0,4,0.5,0.5,5.46722342478654,5.04762655249131,5.8867967255481,0.83917017305679
